num;u;u_true;abs(u - u_true)
0;0;0;0
1;0,290435;0,841471;0,551036
2;0,909297;0,909297;0
3;0;0;0
4;0;0;0
5;0,841471;0,841471;0
6;0,830737;0,909297;0,0785599
7;0,14112;0,14112;2,77556e-17
8;0;0;0
9;0;0;0
10;0,909297;0,909297;0
11;0,152769;0,14112;0,0116489
12;-0,756802;-0,756802;0
13;-0,480047;-0,958924;0,478877
14;-0,279415;-0,279415;0
15;0,14112;0,14112;2,77556e-17
16;-0,642748;-0,756802;0,114055
17;-0,878134;-0,958924;0,0807899
18;-0,196385;-0,279415;0,0830308
19;0,656987;0,656987;0
20;-0,756802;-0,756802;0
21;-0,359085;-0,958924;0,599839
22;0,0820359;-0,279415;0,361451
23;0,557518;0,656987;0,0994691
24;0,989358;0,989358;1,11022e-16
error;1,77511
error_otn;0,500189